Text,,Price,Mileage,Certified?,Year,Package
"Used 2015 Toyota Prius Three     Save    $19,995   10,930 mi",Used 2015 Toyota Prius Three,19995,"10,930",0,2015,Three
"Used 2012 Toyota Prius Four     Save    $17,990   10,995 mi",Used 2012 Toyota Prius Four,17990,"10,995",0,2012,Four
"Used 2013 Toyota Prius PERSONA     Save    $14,288   101,107 mi",Used 2013 Toyota Prius PERSONA,14288,"101,107",0,2013,PERSONA
"Used 2010 Toyota Prius Base     Save    $15,580   102,035 mi",Used 2010 Toyota Prius Base,15580,"102,035",0,2010,Base
"Used 2013 Toyota Prius PERSONA     Save    $14,995   107,801 mi",Used 2013 Toyota Prius PERSONA,14995,"107,801",0,2013,PERSONA
"Used 2013 Toyota Prius Four     Save    $14,985   109,460 mi",Used 2013 Toyota Prius Four,14985,"109,460",0,2013,Four
"Certified 2014 Toyota Prius Two     Save    $16,993   11,079 mi",Certified 2014 Toyota Prius Two,16993,"11,079",1,2014,Two
"Used 2015 Toyota Prius Three     Save    $19,893   11,099 mi",Used 2015 Toyota Prius Three,19893,"11,099",0,2015,Three
"Certified 2015 Toyota Prius Two Model     Save    $19,990   11,142 mi",Certified 2015 Toyota Prius Two Model,19990,"11,142",1,2015,Two
"Used 2014 Toyota Prius Three     Save    $19,995   11,165 mi",Used 2014 Toyota Prius Three,19995,"11,165",0,2014,Three
"Certified 2013 Toyota Prius Two     Save    $17,800   11,219 mi",Certified 2013 Toyota Prius Two,17800,"11,219",1,2013,Two
"Certified 2015 Toyota Prius Two     Save    $19,882   11,273 mi",Certified 2015 Toyota Prius Two,19882,"11,273",1,2015,Two
"Certified 2013 Toyota Prius Three     Save    $18,295   11,295 mi",Certified 2013 Toyota Prius Three,18295,"11,295",1,2013,Three
"Certified 2014 Toyota Prius Two     Save    $19,888   11,353 mi",Certified 2014 Toyota Prius Two,19888,"11,353",1,2014,Two
"Certified 2013 Toyota Prius Two Model     Save    $17,900   11,368 mi",Certified 2013 Toyota Prius Two Model,17900,"11,368",1,2013,Two
"Used 2015 Toyota Prius Three     Save    $20,888   11,410 mi",Used 2015 Toyota Prius Three,20888,"11,410",0,2015,Three
"Used 2014 Toyota Prius Two     Save    $16,723   11,411 mi",Used 2014 Toyota Prius Two,16723,"11,411",0,2014,Two
"Used 2013 Toyota Prius Three     Save    $17,000   11,412 mi",Used 2013 Toyota Prius Three,17000,"11,412",0,2013,Three
"Certified 2015 Toyota Prius Three     Save    $18,992   11,450 mi",Certified 2015 Toyota Prius Three,18992,"11,450",1,2015,Three
"Used 2013 Toyota Prius Three     Save    $16,999   11,509 mi",Used 2013 Toyota Prius Three,16999,"11,509",0,2013,Three
"Used 2015 Toyota Prius Four     Save    $24,365   11,540 mi",Used 2015 Toyota Prius Four,24365,"11,540",0,2015,Four
"Used 2014 Toyota Prius      Save    $17,999   11,616 mi",Used 2014 Toyota Prius,17999,"11,616",0,2014,
"Used 2014 Toyota Prius      Save    $18,662   11,643 mi",Used 2014 Toyota Prius,18662,"11,643",0,2014,
"Used 2015 Toyota Prius Persona Series Special Edition     Save    $23,995   11,721 mi",Used 2015 Toyota Prius Persona Series Special Edition,23995,"11,721",0,2015,Persona
"Used 2015 Toyota Prius PERSONA SERIES     Save    $22,900   11,759 mi",Used 2015 Toyota Prius PERSONA SERIES,22900,"11,759",0,2015,PERSONA
"Certified 2014 Toyota Prius Two     Save    $18,974   11,791 mi",Certified 2014 Toyota Prius Two,18974,"11,791",1,2014,Two
"Used 2015 Toyota Prius Two     Save    $19,000   11,836 mi",Used 2015 Toyota Prius Two,19000,"11,836",0,2015,Two
"Certified 2014 Toyota Prius Three     Save    $18,899   11,896 mi",Certified 2014 Toyota Prius Three,18899,"11,896",1,2014,Three
"Used 2015 Toyota Prius Two     Save    $18,953   11,907 mi",Used 2015 Toyota Prius Two,18953,"11,907",0,2015,Two
